applicant_id,application_date,municipality,household_type,household_size,annual_income_cad,income_band,priority_group,immigration_status,requested_housing_type,bedrooms_needed,accessibility_needs,current_housing_situation,vulnerability_score_0_100,urgency_score_0_100,predicted_wait_days,actual_wait_days,outcome,housing_provider,notes
FVR-D0001,2025-02-03,Hope,Single adult,1,20700,Deep core need,Indigenous,Refugee,Assisted living,1,None,Unsheltered,60,57,149,150,Waiting,High Priority Housing Society,
FVR-D0002,2025-02-05,Abbotsford,Senior living alone,1,23900,Low income,Disability,Work Permit,Co-op housing,1,Wheelchair,Unsafe/Violence,65,64,158,160,Waiting,Abbotsford Community Housing,
FVR-D0003,2025-02-07,Hope,Family with children,4,27100,Low income,Newcomer/Refugee,International Student,Family supportive housing,3,None,Renting >30% income,70,71,167,170,Waiting,BC Housing (Fraser),
FVR-D0004,2025-02-09,Abbotsford,Couple no kids,2,30300,Low income,Justice-involved (parole),Citizen,Justice re-entry housing,2,None,Overcrowded,75,78,176,162,Housed,Fraser Valley Housing Society,
FVR-D0005,2025-02-11,Hope,Single parent,1,33500,Low income,Senior,Permanent Resident,Subsidized rental,1,Wheelchair,Shelter,80,85,185,190,Waiting,Chilliwack Community Services,
FVR-D0006,2025-02-13,Abbotsford,Youth aging out of care,1,36700,Moderate income,None,Refugee,Supportive housing,1,None,Couch-surfing,85,92,194,200,Waiting,Mission Housing Assoc.,
FVR-D0007,2025-02-15,Hope,Family with children,4,39900,Moderate income,Homeless/At risk,Work Permit,Transitional housing,3,None,Unsheltered,90,99,203,192,Housed,Faith-based Housing Partner,
FVR-D0008,2025-02-17,Abbotsford,Family with children,3,43100,Moderate income,Women+children fleeing violence,International Student,Assisted living,3,None,Unsafe/Violence,95,56,212,200,Housed,High Priority Housing Society,
FVR-D0009,2025-02-19,Hope,Single adult,1,46300,Moderate income,Indigenous,Citizen,Co-op housing,1,None,Renting >30% income,55,63,221,221,Waiting,Abbotsford Community Housing,
FVR-D0010,2025-02-21,Abbotsford,Senior living alone,1,49500,Moderate income,Disability,Permanent Resident,Family supportive housing,1,Wheelchair,Overcrowded,60,70,230,231,Waiting,BC Housing (Fraser),
FVR-D0011,2025-02-23,Hope,Family with children,4,17500,Deep core need,Newcomer/Refugee,Refugee,Justice re-entry housing,3,None,Shelter,65,77,239,241,Waiting,Fraser Valley Housing Society,
FVR-D0012,2025-02-25,Abbotsford,Couple no kids,2,20700,Deep core need,Justice-involved (parole),Work Permit,Subsidized rental,2,None,Couch-surfing,70,84,248,238,Housed,Chilliwack Community Services,
FVR-D0013,2025-02-27,Hope,Single parent,1,23900,Low income,Senior,International Student,Supportive housing,1,Wheelchair,Unsheltered,75,91,257,261,Waiting,Mission Housing Assoc.,
FVR-D0014,2025-03-01,Abbotsford,Youth aging out of care,1,27100,Low income,None,Citizen,Transitional housing,1,None,Unsafe/Violence,80,98,266,271,Waiting,Faith-based Housing Partner,
FVR-D0015,2025-03-03,Hope,Family with children,4,30300,Low income,Homeless/At risk,Permanent Resident,Assisted living,3,None,Renting >30% income,85,55,145,132,Housed,High Priority Housing Society,
FVR-D0016,2025-03-05,Abbotsford,Family with children,3,33500,Low income,Women+children fleeing violence,Refugee,Co-op housing,3,None,Overcrowded,90,62,154,140,Housed,Abbotsford Community Housing,
FVR-D0017,2025-03-07,Hope,Single adult,1,36700,Moderate income,Indigenous,Work Permit,Family supportive housing,1,None,Shelter,95,69,163,171,Waiting,BC Housing (Fraser),
FVR-D0018,2025-03-09,Abbotsford,Senior living alone,1,39900,Moderate income,Disability,International Student,Justice re-entry housing,1,Wheelchair,Couch-surfing,55,76,172,172,Waiting,Fraser Valley Housing Society,
FVR-D0019,2025-03-11,Hope,Family with children,4,43100,Moderate income,Newcomer/Refugee,Citizen,Subsidized rental,3,None,Unsheltered,60,83,181,182,Waiting,Chilliwack Community Services,
FVR-D0020,2025-03-13,Abbotsford,Couple no kids,2,46300,Moderate income,Justice-involved (parole),Permanent Resident,Supportive housing,2,None,Unsafe/Violence,65,90,190,178,Housed,Mission Housing Assoc.,
FVR-D0021,2025-03-15,Hope,Single parent,1,49500,Moderate income,Senior,Refugee,Transitional housing,1,Wheelchair,Renting >30% income,70,97,199,202,Waiting,Faith-based Housing Partner,
FVR-D0022,2025-03-17,Abbotsford,Youth aging out of care,1,17500,Deep core need,None,Work Permit,Assisted living,1,None,Overcrowded,75,54,208,212,Waiting,High Priority Housing Society,
FVR-D0023,2025-03-19,Hope,Family with children,4,20700,Deep core need,Homeless/At risk,International Student,Co-op housing,3,None,Shelter,80,61,217,202,Housed,Abbotsford Community Housing,
FVR-D0024,2025-03-21,Abbotsford,Family with children,3,23900,Low income,Women+children fleeing violence,Citizen,Family supportive housing,3,None,Couch-surfing,85,68,226,216,Housed,BC Housing (Fraser),
FVR-D0025,2025-03-23,Hope,Single adult,1,27100,Low income,Indigenous,Permanent Resident,Justice re-entry housing,1,None,Unsheltered,90,75,235,242,Waiting,Fraser Valley Housing Society,
FVR-D0026,2025-03-25,Abbotsford,Senior living alone,1,30300,Low income,Disability,Refugee,Subsidized rental,1,Wheelchair,Unsafe/Violence,95,82,244,252,Waiting,Chilliwack Community Services,
FVR-D0027,2025-03-27,Hope,Family with children,4,33500,Low income,Newcomer/Refugee,Work Permit,Supportive housing,3,None,Renting >30% income,55,89,253,253,Waiting,Mission Housing Assoc.,
FVR-D0028,2025-03-29,Abbotsford,Couple no kids,2,36700,Moderate income,Justice-involved (parole),International Student,Transitional housing,2,None,Overcrowded,60,96,262,248,Housed,Faith-based Housing Partner,
FVR-D0029,2025-03-31,Hope,Single parent,1,39900,Moderate income,Senior,Citizen,Assisted living,1,Wheelchair,Shelter,65,53,141,143,Waiting,High Priority Housing Society,
FVR-D0030,2025-04-02,Abbotsford,Youth aging out of care,1,43100,Moderate income,None,Permanent Resident,Co-op housing,1,None,Couch-surfing,70,60,150,153,Waiting,Abbotsford Community Housing,
FVR-D0031,2025-04-04,Hope,Family with children,4,46300,Moderate income,Homeless/At risk,Refugee,Family supportive housing,3,None,Unsheltered,75,67,159,148,Housed,BC Housing (Fraser),
FVR-D0032,2025-04-06,Abbotsford,Family with children,3,49500,Moderate income,Women+children fleeing violence,Work Permit,Justice re-entry housing,3,None,Unsafe/Violence,80,74,168,156,Housed,Fraser Valley Housing Society,
FVR-D0033,2025-04-08,Hope,Single adult,1,17500,Deep core need,Indigenous,International Student,Subsidized rental,1,None,Renting >30% income,85,81,177,183,Waiting,Chilliwack Community Services,
FVR-D0034,2025-04-10,Abbotsford,Senior living alone,1,20700,Deep core need,Disability,Citizen,Supportive housing,1,Wheelchair,Overcrowded,90,88,186,193,Waiting,Mission Housing Assoc.,
FVR-D0035,2025-04-12,Hope,Family with children,4,23900,Low income,Newcomer/Refugee,Permanent Resident,Transitional housing,3,None,Shelter,95,95,195,203,Waiting,Faith-based Housing Partner,
FVR-D0036,2025-04-14,Abbotsford,Couple no kids,2,27100,Low income,Justice-involved (parole),Refugee,Assisted living,2,None,Couch-surfing,55,52,204,194,Housed,High Priority Housing Society,
FVR-D0037,2025-04-16,Hope,Single parent,1,30300,Low income,Senior,Work Permit,Co-op housing,1,Wheelchair,Unsheltered,60,59,213,214,Waiting,Abbotsford Community Housing,
FVR-D0038,2025-04-18,Abbotsford,Youth aging out of care,1,33500,Low income,None,International Student,Family supportive housing,1,None,Unsafe/Violence,65,66,222,224,Waiting,BC Housing (Fraser),
FVR-D0039,2025-04-20,Hope,Family with children,4,36700,Moderate income,Homeless/At risk,Citizen,Justice re-entry housing,3,None,Renting >30% income,70,73,231,218,Housed,Fraser Valley Housing Society,
FVR-D0040,2025-04-22,Abbotsford,Family with children,3,39900,Moderate income,Women+children fleeing violence,Permanent Resident,Subsidized rental,3,None,Overcrowded,75,80,240,226,Housed,Chilliwack Community Services,
FVR-D0041,2025-04-24,Hope,Single adult,1,43100,Moderate income,Indigenous,Refugee,Supportive housing,1,None,Shelter,80,87,249,254,Waiting,Mission Housing Assoc.,
FVR-D0042,2025-04-26,Abbotsford,Senior living alone,1,46300,Moderate income,Disability,Work Permit,Transitional housing,1,Wheelchair,Couch-surfing,85,94,258,264,Waiting,Faith-based Housing Partner,
FVR-D0043,2025-04-28,Hope,Family with children,4,49500,Moderate income,Newcomer/Refugee,International Student,Assisted living,3,None,Unsheltered,90,51,267,274,Waiting,High Priority Housing Society,
FVR-D0044,2025-04-30,Abbotsford,Couple no kids,2,17500,Deep core need,Justice-involved (parole),Citizen,Co-op housing,2,None,Unsafe/Violence,95,58,146,134,Housed,Abbotsford Community Housing,
FVR-D0045,2025-05-02,Hope,Single parent,1,20700,Deep core need,Senior,Permanent Resident,Family supportive housing,1,Wheelchair,Renting >30% income,55,65,155,155,Waiting,BC Housing (Fraser),
FVR-D0046,2025-05-04,Abbotsford,Youth aging out of care,1,23900,Low income,None,Refugee,Justice re-entry housing,1,None,Overcrowded,60,72,164,165,Waiting,Fraser Valley Housing Society,
FVR-D0047,2025-05-06,Hope,Family with children,4,27100,Low income,Homeless/At risk,Work Permit,Subsidized rental,3,None,Shelter,65,79,173,158,Housed,Chilliwack Community Services,
FVR-D0048,2025-05-08,Abbotsford,Family with children,3,30300,Low income,Women+children fleeing violence,International Student,Supportive housing,3,None,Couch-surfing,70,86,182,172,Housed,Mission Housing Assoc.,
FVR-D0049,2025-05-10,Hope,Single adult,1,33500,Low income,Indigenous,Citizen,Transitional housing,1,None,Unsheltered,75,93,191,195,Waiting,Faith-based Housing Partner,
FVR-D0050,2025-05-12,Abbotsford,Senior living alone,1,36700,Moderate income,Disability,Permanent Resident,Assisted living,1,Wheelchair,Unsafe/Violence,80,50,200,205,Waiting,High Priority Housing Society,
